ownershipEN,locationZH,relevantDistrictCouncilZH,nameZH,ownershipZH,locationEN,nameEN,relevantDistrictCouncilEN,items
Single Ownership,赤柱村道28號,南區,赤柱村道28號,單一業權,28 Stanley Village Road,28 Stanley Village Road,SOUTHERN,
Single Ownership,東頭灣道23號,南區,東頭灣道23號,單一業權,23 Tung Tau Wan Road,23 Tung Tau Wan Road,SOUTHERN,
Single Ownership,石澳山仔道15號,南區,石澳山仔道15號,單一業權,15 Shek O Headland Road,15 Shek O Headland Road,SOUTHERN,
Multiple Ownership,葵涌葵義路12 - 20號,葵青,新葵芳花園,共有業權,"Nos. 12 - 20 Kwai Yi Road, Kwai Chung",New Kwai Fong Gardens,KWAI TSING,
Multiple Ownership,沐寧街 10號,九龍城,Oasis Kai Tak,共有業權,10 MUK NING STREET,Oasis Kai Tak,KOWLOON CITY,
Multiple Ownership,葵涌興芳路223號,葵青,新都會廣場,共有業權,"No. 223 Hing Fong Road, Kwai Chung",Metroplaza,KWAI TSING,
Multiple Ownership,紅棉路8號,中西區,東昌大廈,共有業權,8 Cotton Tree Drive,Fairmont House,CENTRAL & WESTERN,
Single Ownership,德輔道中83號,中西區,恒生銀行總行大廈,單一業權,83 Des Voeux Road Central,Hang Seng Bank Headquarters,CENTRAL & WESTERN,
Multiple Ownership,金鐘道89號,中西區,力寶中心,共有業權,89 Queensway,Lippo Centre,CENTRAL & WESTERN,
Multiple Ownership,紅山道88號,南區,玫瑰園,共有業權,88 Red Hill Road,Villa Rosa,SOUTHERN,
Multiple Ownership,青衣楓樹窩路1號,葵青,翠怡花園,共有業權,"1 Fung Shue Wo Road, Tsing Yi",Greenfield Garden,KWAI TSING,
Single Ownership,葵涌永基路35號,葵青,嘉里溫控貨倉2,單一業權,"35 Wing Kei Road,Kwai Chung",Kerry TC Warehouse 2,KWAI TSING,
Multiple Ownership,青山公路汀九段 218 - 240號,荃灣,新麗苑,共有業權,218 - 240 Castle Peak Road - Ting Kau,Sunny Villa,TSUEN WAN,
Multiple Ownership,青山公路–汀九段 242號,荃灣,疊翠苑,共有業權,242 Castle Peak Road - Ting Kau,Keymount Lodge,TSUEN WAN,
Multiple Ownership,青山公路–荃灣段620及625號,荃灣,麗城花園第二及三期,共有業權,620 & 625 Castle Peak Road - Tsuen Wan,Belvedere Garden Phases II & III,TSUEN WAN,
Multiple Ownership,荃灣汀九青山公路 380 號,荃灣,星岸,共有業權,"380 Castle Peak Road, Ting Kau, Tsuen Wan",Deauville,TSUEN WAN,
Single Ownership,深井青山公路48號,荃灣,陳記商業中心,單一業權,"48 Castle Peak Road, Sham Tseng",Chan Kee Commercial Centre,TSUEN WAN,
Multiple Ownership,青山公路38號,荃灣,海韻花園,共有業權,38 Castle Peak Road,Rhine Garden,TSUEN WAN,
Multiple Ownership,國瑞路168號,荃灣,縉庭山,共有業權,168 Kwok Shui Road,Primrose Hill,TSUEN WAN,
N.A.,西樓角路218 - 220號 及青山公路 – 荃灣段90 - 92號,荃灣,豪輝花園第1座,N.A.,"218 - 220 Sai Lau Kok Road & 90 - 92 Castle Peak Road, Tsuen Wan",Ho Fai Garden Block 1,TSUEN WAN,
Multiple Ownership,青衣寮肚路3號,葵青,曉峰園,共有業權,"3 Liu To Road,Tsing Yi",Mount Haven,KWAI TSING,
Multiple Ownership,青敬路33號,葵青,盈翠半島青衣城青衣機鐵站,共有業權,33 Tsing King Road,"Tierra Verde, Maritime Square, Tsing Yi Station",KWAI TSING,
Multiple Ownership,青衣青綠街7 - 19號,葵青,青怡花園,共有業權,"7 - 19 Tsing Luk Street, Tsing Yi",Tsing Yi Garden,KWAI TSING,
Multiple Ownership,青衣青敬路75號,葵青,宏福花園,共有業權,"75 Tsing King Road, Tsing Yi",Tivoli Garden,KWAI TSING,
Multiple Ownership,青衣青敬路77號,葵青,海悅花園,共有業權,"77 Tsing King Road, Tsing Yi",Serene Garden,KWAI TSING,
Multiple Ownership,孖峰嶺路23號,元朗,翠峰,共有業權,23 Ma Fung Ling Road,Green Lodge,YUEN LONG,
Multiple Ownership,青山公路128號,元朗,朗逸豪園,共有業權,128 Castle Peak Road,Villa Sunshine,YUEN LONG,
Multiple Ownership,屏健里8號,元朗,尚悅‧天城,共有業權,8 Ping Kin Lane,The Hampstead Reach,YUEN LONG,
Multiple Ownership,屏葵路28號,元朗,娉廷,共有業權,28 Ping Kwai Road,La Mansion,YUEN LONG,
Multiple Ownership,蕙荃路22 - 66號,荃灣,綠楊新邨,共有業權,22 - 66 Wai Tsuen Road,Luk Yeung Sun Chuen,TSUEN WAN,
Multiple Ownership,香港新界荃灣區荃灣大河道100號,荃灣,海之戀,共有業權,"100 Tai Ho Road, Tsuen Wan",Ocean Pride,TSUEN WAN,
Multiple Ownership,楊屋道18號,荃灣,御凱,共有業權,18 Yeung Uk Road,The Dynasty,TSUEN WAN,
Multiple Ownership,荃灣楊屋道88號,荃灣,映日灣,共有業權,"88 Yeung Uk Road, Tsuen Wan",The Aurora,TSUEN WAN,
Multiple Ownership,西樓角路222 - 224號及青山公路 – 荃灣段90 - 92號,荃灣,豪輝花園第2座,共有業權,"222 - 224 Sai Lau Kok Road & 90 – 92 Castle Peak Road, Tsuen Wan",Ho Fai Garden Block 2,TSUEN WAN,
Multiple Ownership,西樓角路186 - 216號,荃灣,荃昌中心昌寧大廈,共有業權,186 - 216 Sai Lau Kok Road,Tsuen Cheong Centre Cheong Ning Building,TSUEN WAN,
Multiple Ownership,西樓角路170 - 184號,荃灣,華都中心,共有業權,170 - 184 Sai Lau Kok Road,Waldorf Centre,TSUEN WAN,
Multiple Ownership,西樓角路186 - 216號,荃灣,荃昌中心昌安大廈,共有業權,186 - 216 Sai Lau Kok Road,Tsuen Cheong Centre Cheong On Building,TSUEN WAN,
Multiple Ownership,西樓角路138 - 168號 青山公路 – 荃灣段 144 - 172號,荃灣,荃豐中心,共有業權,"138 - 168 Sai Lau Kok Road and ,144 - 172 Castle Peak Road",Tsuen Fung Centre,TSUEN WAN,
Multiple Ownership,青山公路荃灣段 328 - 350號,荃灣,荃錦中心,共有業權,"328 - 350 Castle Peak Road, Tsuen Wan",Tsuen Kam Centre,TSUEN WAN,
Multiple Ownership,"怡樂街1 - 9, 2 - 12號 怡康街1 - 7, 2 - 12號",荃灣,海濱花園,共有業權,"1 - 9, 2 - 12 Yi Lok Street,1 - 7, 2 - 12 Yi Hong Street",Riviera Garden,TSUEN WAN,
Single Ownership,"悠麗路8號,油柑頭",荃灣,錦柏豪苑,單一業權,"8 Yau Lai Road,Yau Kom Tau",Grandview Villa,TSUEN WAN,
Multiple Ownership,街市街67 - 95號,荃灣,荃灣千色匯II,共有業權,67 - 95 Tsuen Wan Market Street,KOLOUR Tsuen Wan II,TSUEN WAN,
Multiple Ownership,楊屋道1號,荃灣,萬景峰,共有業權,1 Yeung Uk Road,Vision City,TSUEN WAN,
Single Ownership,青山公路汀九段368號,荃灣,金臻,單一業權,"368 Castle Peak Road, Ting Kau, Tsuen Wan",Grand Riviera,TSUEN WAN,
Multiple Ownership,深井青山公路6號,荃灣,黃金花園,共有業權,"6 Castle Peak Road, Sham Tseng, Tsuen Wan",Golden Villa,TSUEN WAN,
Multiple Ownership,青龍頭青山公路 18號A,荃灣,海雲軒,共有業權,"18A Castle Peak Road, Tsing Lung Tau",Anglers' Bay,TSUEN WAN,
Multiple Ownership,青龍頭青山公路18號,荃灣,浪翠園2期,共有業權,"18 Castle Peak Road, Tsing Lung Tau",Sea Crest Villa Phase 2,TSUEN WAN,
Multiple Ownership,楊屋道116 - 122號,荃灣,立坊,共有業權,116 - 122 Yeung Uk Road,H Cube,TSUEN WAN,
Multiple Ownership,楊屋道138號,荃灣,樂悠居,共有業權,138 Yeung Uk Road,Indi Home,TSUEN WAN,
Multiple Ownership,楊屋道100號,荃灣,爵悅庭,共有業權,100 Yeung Uk Road,Chelsea Court,TSUEN WAN,
Single Ownership,青山公路–汀九段 123號,荃灣,汀蘭居,單一業權,"123 Castle Peak Road,Ting Kau",The Bay Bridge,TSUEN WAN,
Multiple Ownership,沙咀道363號,荃灣,名逸居,共有業權,363 Sha Tsui Road,New Haven,TSUEN WAN,
Multiple Ownership,青山公路荃灣段 185 - 187號,荃灣,荃勝大厦,共有業權,"185 - 187 Castle Peak Road, Tsuen Wan",Victory Court,TSUEN WAN,
Multiple Ownership,青山公路33號,荃灣,碧堤半島,共有業權,33 Castle Peak Road,Bellagio,TSUEN WAN,
Multiple Ownership,深慈街8號,荃灣,縉皇居,共有業權,8 Sham Tsz Street,Ocean Pointe,TSUEN WAN,
Multiple Ownership,永順街 48 號,荃灣,環宇海灣,共有業權,48 Wing Shun Street,City Point,TSUEN WAN,
Multiple Ownership,青山公路荃灣段 201 - 207號,荃灣,新青大厦,共有業權,"201 - 207 Castle Peak Road, Tsuen Wan",Sin Ching Building,TSUEN WAN,
Multiple Ownership,眾安街57 - 63號及 沙咀道282 - 284號,荃灣,周氏商業中心,共有業權,57 - 63 Chung On Street & 282 - 284 Sha Tsui Road,Chau's Commercial Centre,TSUEN WAN,
Multiple Ownership,青山公路荃灣段189號,荃灣,百萬行,共有業權,"189 Castle Peak Road, Tsuen Wan",Park Tsuen Commercial Building,TSUEN WAN,
Multiple Ownership,青山公路398號,荃灣,愉景新城,共有業權,398 Castle Peak Road,Discovery Park,TSUEN WAN,
Multiple Ownership,海盛路22 - 30號,荃灣,祈德尊新邨,共有業權,22 - 30 Hoi Shing Road,Clague Garden Estate,TSUEN WAN,
Multiple Ownership,西樓角道1 - 17號,荃灣,新領域廣場,共有業權,1 - 17 Sai Lau Kok Road,Grand City Plaza,TSUEN WAN,
Multiple Ownership,沙咀道298號,荃灣,翡翠廣場,共有業權,298 Sha Tsui Road,Jade Plaza,TSUEN WAN,
Multiple Ownership,大河道88號,荃灣,灣景廣場,共有業權,88 Tai Ho Road,Skyline Plaza,TSUEN WAN,
Multiple Ownership,大河道 98號,荃灣,全城匯,共有業權,98 Tai Ho Road,Parc City,TSUEN WAN,
Multiple Ownership,永順街38號,荃灣,海灣花園,共有業權,38 Wing Shun Street,Waterside Plaza,TSUEN WAN,
Multiple Ownership,上水龍琛路39號,北區,上水廣場,共有業權,"39 Lung Sum Avenue,Sheung Shui",Landmark North,NORTH,
Multiple Ownership,葵涌大窩口路151 - 156號興芳路166 - 174號,葵青,新葵興花園,共有業權,"151 - 156 Tai Wo Hau Road 166 - 174 Hing Fong Road, Kwai Chung",Sun Kwai Hing Gardens,KWAI TSING,
Multiple Ownership,葵涌華星街8 - 10號,葵青,華達工業中心,共有業權,"8 - 10 Wah Sing Street, Kwai Chung",Wah Tat Industrial Centre,KWAI TSING,
Multiple Ownership,"葵涌華員徑1及2號及華景山路6, 8及12號",葵青,華員邨,共有業權,"1 & 2 Wah Yuen Drive,6, 8 & 12 Wah King Hill Road, Kwai Chung",Wah Yuen Chuen,KWAI TSING,
Multiple Ownership,葵涌葵昌路51號,葵青,九龍貿易中心,共有業權,"51 Kwai Cheong Road, Kwai Chung",Kowloon Commerce Centre,KWAI TSING,
Multiple Ownership,葵涌青山公路382號,葵青,嘉翠園,共有業權,"382 Castle Peak Road, Kwai Chung",Greenknoll Court,KWAI TSING,
Multiple Ownership,荃景圍187 - 195號及安逸街2 - 22號,荃灣,荃威花園,共有業權,187 - 195 Tsuen King Circuit and 2 - 22 On Yat Street,Allway Gardens,TSUEN WAN,
Multiple Ownership,芙蓉山路28號,荃灣,芙蓉雅苑,共有業權,28 Fu Yung Shan Road,Lotus Villa,TSUEN WAN,
